series_id,year,period,value,footnote_codes,date,series_title
LNU04000063,1981,M12,6.0,nan,1981-12-01,"(Unadj) Unemployment Rate - 25-54 yrs., White"
LNU04100002,1981,M12,8.7,nan,1981-12-01,(Unadj) Unemployment Rate - Full-Time Labor Force Women
LNU04100000,1981,M12,8.5,nan,1981-12-01,(Unadj) Unemployment Rate - Full-Time Labor Force
LNU04025034,1981,M12,7.7,nan,1981-12-01,"(Unadj) Unemployment Rate - Widowed, Divorced, or Separated, 25 yrs. & over, Women"
LNU04000360,1981,M12,18.3,nan,1981-12-01,"(Unadj) Unemployment Rate - 16-17 yrs., Hispanic or Latino Women"
LNU04000100,1981,M12,17.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 18-19 yrs., Hispanic or Latino"
LNU04023579,1981,M12,0.3,nan,1981-12-01,"(Unadj) Unemployment Rate - New Entrants 20 yrs. & over, Women"
LNU04024947,1981,M12,7.1,nan,1981-12-01,"(Unadj) Unemployment Rate - 35-39 yrs., White"
LNU04015895,1981,M12,9.9,nan,1981-12-01,"(Unadj) Unemployment Rate - 35-39 yrs., Black or African American Women"
LNU04000173,1981,M12,6.0,nan,1981-12-01,"(Unadj) Unemployment Rate - 35-44 yrs., Men"
LNS14000008,1981,M12,16.3,nan,1981-12-01,(Seas) Unemployment Rate - Black or African American Women
LNU04000347,1981,M12,4.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 55-64 yrs., Women"
LNU04000205,1981,M12,32.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 16-17 yrs., Hispanic or Latino Men"
LNS14000004,1981,M12,7.6,nan,1981-12-01,(Seas) Unemployment Rate - White Men
LNU04023567,1981,M12,2.2,nan,1981-12-01,"(Unadj) Unemployment Rate - Reentrants to Labor Force 20 yrs. & over, Women"
LNU04000144,1981,M12,8.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 45-54 yrs., Black or African American"
LNU04000119,1954,M08,3.5,nan,1954-08-01,"(Unadj) Unemployment Rate - 55-64 yrs., White"
LNS14000017,1954,M08,11.2,nan,1954-08-01,"(Seas) Unemployment Rate - 16-19 yrs., White Women"
LNU04000220,1954,M08,11.5,nan,1954-08-01,"(Unadj) Unemployment Rate - 16-17 yrs., White Men"
LNS14000089,1954,M08,6.0,nan,1954-08-01,(Seas) Unemployment Rate - 25-34 yrs.
LNU04024897,1954,M08,3.6,nan,1954-08-01,"(unadj) Unemployment Rate - White, 55 yrs & over"
LNS14000164,1954,M08,5.6,nan,1954-08-01,"(Seas) Unemployment Rate - 25-34 yrs., Men"
LNU04000347,1954,M08,4.1,nan,1954-08-01,"(Unadj) Unemployment Rate - 55-64 yrs., Women"
LNU04000048,1954,M08,4.6,nan,1954-08-01,(Unadj) Unemployment Rate - 25 yrs. & over
LNS14000086,1954,M08,14.9,nan,1954-08-01,(Seas) Unemployment Rate - 16-17 yrs.
LNS14000048,1954,M08,5.2,nan,1954-08-01,(Seas) Unemployment Rate - 25 yrs. & over
LNS14000154,1954,M08,15.3,nan,1954-08-01,"(Seas) Unemployment Rate - 18-19 yrs., Men"
LNU04000013,1954,M08,12.2,nan,1954-08-01,"(Unadj) Unemployment Rate - 16-19 yrs., Men"
LNU04000375,1954,M08,10.0,nan,1954-08-01,"(Unadj) Unemployment Rate - 16-17 yrs., White Women"
LNS14000182,1958,M02,4.7,nan,1958-02-01,"(Seas) Unemployment Rate - 45-54 yrs., Men"
LNS14000154,1958,M02,17.1,nan,1958-02-01,"(Seas) Unemployment Rate - 18-19 yrs., Men"
LNU04000027,1958,M02,6.4,nan,1958-02-01,"(Unadj) Unemployment Rate - 20 yrs. & over, White"
LNU04000113,1958,M02,6.8,nan,1958-02-01,"(Unadj) Unemployment Rate - 25-34 yrs., White"
LNS14000017,1958,M02,12.1,nan,1958-02-01,"(Seas) Unemployment Rate - 16-19 yrs., White Women"
LNU04000036,1958,M02,13.1,nan,1958-02-01,(Unadj) Unemployment Rate - 20-24 yrs.
LNS14000004,1958,M02,5.6,nan,1958-02-01,(Seas) Unemployment Rate - White Men
LNU04000237,1958,M02,5.5,nan,1958-02-01,"(Unadj) Unemployment Rate - 35-44 yrs., White Men"
LNU04024887,1958,M02,14.1,nan,1958-02-01,(Unadj) Unemployment Rate - 16-24 yrs.
LNS14000002,1958,M02,6.6,nan,1958-02-01,(Seas) Unemployment Rate - Women
LNS14000028Q,1958,Q04,5.1,nan,1958-10-15,"(Seas) Unemployment Rate - 20 yrs. & over, White Men"
LNU04000048Q,1958,Q04,4.8,nan,1958-10-15,(Unadj) Unemployment Rate - 25 yrs. & over
LNU04000064Q,1958,Q04,3.9,nan,1958-10-15,"(Unadj) Unemployment Rate - 25-54 yrs., White Men"
LNS14000004Q,1958,Q04,5.6,nan,1958-10-15,(Seas) Unemployment Rate - White Men
LNS14000091Q,1958,Q04,5.0,nan,1958-10-15,(Seas) Unemployment Rate - 35-44 yrs.
LNU04000027Q,1958,Q04,4.7,nan,1958-10-15,"(Unadj) Unemployment Rate - 20 yrs. & over, White"
LNS14000060Q,1958,Q04,5.2,nan,1958-10-15,(Seas) Unemployment Rate - 25-54 yrs.
LNU04000237Q,1958,Q04,3.6,nan,1958-10-15,"(Unadj) Unemployment Rate - 35-44 yrs., White Men"
LNU04000005Q,1958,Q04,5.2,nan,1958-10-15,(Unadj) Unemployment Rate - White Women
LNU04024897,1966,M07,2.5,nan,1966-07-01,"(unadj) Unemployment Rate - White, 55 yrs & over"
LNU04000060,1966,M07,2.5,nan,1966-07-01,(Unadj) Unemployment Rate - 25-54 yrs.
LNU04032243,1966,M07,2.3,nan,1966-07-01,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNS14000038,1966,M07,6.0,nan,1966-07-01,"(Seas) Unemployment Rate - 20-24 yrs., Women"
LNU04100025,1966,M07,2.2,nan,1966-07-01,"(Unadj) Unemployment Rate - Full-Time Labor Force 20 yrs. & over, Men"
LNS14000315,1966,M07,3.5,nan,1966-07-01,(Seas) Unemployment Rate - Married Women
LNS14000050,1966,M07,3.3,nan,1966-07-01,"(Seas) Unemployment Rate - 25 yrs. & over, Women"
LNU04000065,1966,M07,2.9,nan,1966-07-01,"(Unadj) Unemployment Rate - 25-54 yrs., White Women"
LNU04024232,1966,M07,2.3,nan,1966-07-01,"(Unadj) Unemployment Rate - 55 yrs. & over, Women"
LNU04000317,1966,M07,18.3,nan,1966-07-01,"(Unadj) Unemployment Rate - 16-17 yrs., Women"
LNU04000360,1978,M06,29.2,nan,1978-06-01,"(Unadj) Unemployment Rate - 16-17 yrs., Hispanic or Latino Women"
LNU04015859,1978,M06,1.9,nan,1978-06-01,"(Unadj) Unemployment Rate - 60-64 yrs., Black or African American Men"
LNS14000093,1978,M06,3.3,nan,1978-06-01,(Seas) Unemployment Rate - 45-54 yrs.
LNU04000044,1978,M06,25.0,nan,1978-06-01,"(Unadj) Unemployment Rate - 20-24 yrs., Black or African American Women"
LNU04023577,1978,M06,0.2,nan,1978-06-01,"(Unadj) Unemployment Rate - New Entrants 20 yrs. & over, Men"
LNU04000032,1978,M06,11.9,nan,1978-06-01,"(Unadj) Unemployment Rate - 20 yrs. & over, Black or African American Women"
LNU04015899,1978,M06,8.1,nan,1978-06-01,"(Unadj) Unemployment Rate - 40-44 yrs., Black or African American Women"
LNU04000031,1978,M06,8.6,nan,1978-06-01,"(Unadj) Unemployment Rate - 20 yrs. & over, Black or African American Men"
LNU04000215,1978,M06,3.1,nan,1978-06-01,"(Unadj) Unemployment Rate -  60-64 yrs., Hispanic or Latino Men"
LNU04000244,1978,M06,2.1,nan,1978-06-01,"(Unadj) Unemployment Rate - 45-54 yrs., White Men"
LNU04023631,1978,M06,2.1,nan,1978-06-01,"(Unadj) Unemployment Rate - Job Losers 20 yrs. & over, Women"
LNS14023705,1978,M06,0.8,nan,1978-06-01,(Seas) Unemployment Rate - Job Leavers
LNU04015813,1978,M06,4.6,nan,1978-06-01,"(Unadj) Unemployment Rate - Married, Spouse Present, Black or African American Men"
LNS14000017,1978,M06,13.4,nan,1978-06-01,"(Seas) Unemployment Rate - 16-19 yrs., White Women"
LNS14000062,1978,M06,5.5,nan,1978-06-01,"(Seas) Unemployment Rate - 25-54 yrs., Women"
LNU04000143,1978,M06,7.1,nan,1978-06-01,"(Unadj) Unemployment Rate - 35-44 yrs., Black or African American"
LNS14000152,1978,M06,17.5,nan,1978-06-01,"(Seas) Unemployment Rate - 16-17 yrs., Men"
LNS14000038,1978,M06,10.2,nan,1978-06-01,"(Seas) Unemployment Rate - 20-24 yrs., Women"
LNU04000062,1978,M06,5.4,nan,1978-06-01,"(Unadj) Unemployment Rate - 25-54 yrs., Women"
LNU04000107,1978,M06,4.9,nan,1978-06-01,"(Unadj) Unemployment Rate - 55-64 yrs., Hispanic or Latino"
LNU04000257,1978,M06,3.9,nan,1978-06-01,"(Unadj) Unemployment Rate - 65 yrs. & over, White Men"
LNU04025030,1978,M06,3.9,nan,1978-06-01,"(Unadj) Unemployment Rate - Married, Spouse Present, 25 yrs. & over, Black or African American Men"
LNS14000154,1978,M06,12.2,nan,1978-06-01,"(Seas) Unemployment Rate - 18-19 yrs., Men"
LNU04000024,1978,M06,4.8,nan,1978-06-01,(Unadj) Unemployment Rate - 20 yrs. & over
LNU04000043,1978,M06,21.8,nan,1978-06-01,"(Unadj) Unemployment Rate - 20-24 yrs., Black or African American Men"
LNU04000030,1978,M06,10.2,nan,1978-06-01,"(Unadj) Unemployment Rate - 20 yrs. & over, Black or African American"
LNU04000182,1990,M05,3.5,nan,1990-05-01,"(Unadj) Unemployment Rate - 45-54 yrs., Men"
LNU04000235,1990,M05,4.2,nan,1990-05-01,"(Unadj) Unemployment Rate - 30-34 yrs., White Men"
LNS14000013,1990,M05,15.3,nan,1990-05-01,"(Seas) Unemployment Rate - 16-19 yrs., Men"
LNU04000143,1990,M05,6.6,nan,1990-05-01,"(Unadj) Unemployment Rate - 35-44 yrs., Black or African American"
LNU04022983,1990,M05,25.1,nan,1990-05-01,"(Unadj) Unemployment Rate - Enrolled in School, 16-24 yrs., Black or African American Men"
LNU04000063,1990,M05,3.5,nan,1990-05-01,"(Unadj) Unemployment Rate - 25-54 yrs., White"
LNU04023008,1990,M05,4.2,nan,1990-05-01,(Unadj) Unemployment Rate - Enrolled in College Part Time 16-24 yrs.
LNU04024952,1990,M05,3.8,nan,1990-05-01,"(Unadj) Unemployment Rate - 70-74 yrs., White Men"
LNU04017233,1990,M05,3.2,nan,1990-05-01,(Unadj) Unemployment Rate - Reentrants to Labor Force Black or African American
LNU04023749,1990,M05,1.9,nan,1990-05-01,(Unadj) Unemployment Rate - Reentrants to Labor Force Hispanic or Latino
LNU04000046,1990,M05,7.0,nan,1990-05-01,"(Unadj) Unemployment Rate - 20-24 yrs., Hispanic or Latino Men"
LNS14000020,1990,M05,28.1,nan,1990-05-01,"(Seas) Unemployment Rate - 16-19 yrs., Black or African American Women"
LNU04000062,1990,M05,4.1,nan,1990-05-01,"(Unadj) Unemployment Rate - 25-54 yrs., Women"
LNU04024935,1990,M05,3.4,nan,1990-05-01,(Unadj) Unemployment Rate - 40-44 yrs.
LNU04200001,1990,M05,6.6,nan,1990-05-01,(Unadj) Unemployment Rate - Part-Time Labor Force Men
LNS14200012,1990,M05,12.5,nan,1990-05-01,(Seas) Unemployment Rate  Part-Time Workers 16-19 yrs.
LNS14023569,1990,M05,0.5,nan,1990-05-01,(Seas) Unemployment Rate - New Entrants
LNU04000023,1990,M05,25.8,nan,1990-05-01,"(Unadj) Unemployment Rate - 16-19 yrs., Hispanic or Latino Women"
LNU04000218,1990,M05,2.8,nan,1990-05-01,(Unadj) Unemployment Rate - Married White Men
LNU04024947,1990,M05,2.9,nan,1990-05-01,"(Unadj) Unemployment Rate - 35-39 yrs., White"
LNU04015349,1990,M05,2.6,nan,1990-05-01,"(Unadj) Unemployment Rate - 75 yrs. & over, Women"
LNS14000317,1990,M05,18.2,nan,1990-05-01,"(Seas) Unemployment Rate - 16-17 yrs., Women"
LNU04000096,1990,M05,2.8,nan,1990-05-01,(Unadj) Unemployment Rate - 60-64 yrs.
LNU04024940,1990,M05,1.6,nan,1990-05-01,"(Unadj) Unemployment Rate - 70-74 yrs., Women"
LNU04000262,1990,M05,3.3,nan,1990-05-01,"(Unadj) Unemployment Rate - 70 yrs. & over, White Men"
LNU04000461,1990,M05,3.3,nan,1990-05-01,"(Unadj) Unemployment Rate - 45-54 yrs., Black or African American Women"
LNU04024705,1990,M05,5.6,nan,1990-05-01,"(Unadj) Unemployment Rate - Widowed, Divorced, or Separated 20-64 yrs., Women"
LNS14000182,1990,M05,3.5,nan,1990-05-01,"(Seas) Unemployment Rate - 45-54 yrs., Men"
LNU04022975,1990,M05,27.5,nan,1990-05-01,"(Unadj) Unemployment Rate - Enrolled in School, 16-19 yrs., Black or African American"
LNU04000213,1990,M05,6.1,nan,1990-05-01,"(Unadj) Unemployment Rate -  55-59 yrs., Hispanic or Latino Men"
LNU04000212,1990,M05,7.2,nan,1990-05-01,"(Unadj) Unemployment Rate - 45-54 yrs., Hispanic or Latino Men"
LNU04015814,1990,M05,7.8,nan,1990-05-01,"(Unadj) Unemployment Rate - Widowed, Divorced, or Separated, Black or African American Men"
LNU04015843,1990,M05,5.2,nan,1990-05-01,"(Unadj) Unemployment Rate - 40-44 yrs., Black or African American Men"
LNS14000003,1990,M05,4.6,nan,1990-05-01,(Seas) Unemployment Rate - White
LNU04000363,1990,M05,8.2,nan,1990-05-01,"(Unadj) Unemployment Rate - 25-34 yrs., Hispanic or Latino Women"
LNU04025332,1990,M05,4.1,nan,1990-05-01,"(Unadj) Unemployment Rate - 45-49 yrs., Black or African American"
LNS14025669,1990,M05,3.4,nan,1990-05-01,(Seas) Unemployment Rate - Married
LNS14000319,1990,M05,12.4,nan,1990-05-01,"(Seas) Unemployment Rate - 18-19 yrs., Women"
LNU04000354,1990,M05,3.3,nan,1990-05-01,"(Unadj) Unemployment Rate - 65 yrs. & over, Women"
LNU04024708,1990,M05,2.8,nan,1990-05-01,"(Unadj) Unemployment Rate - Married 20-64 yrs., White Men"
LNU04000373,1990,M05,3.1,nan,1990-05-01,(Unadj) Unemployment Rate - Married White Women
LNU04000093,1990,M05,3.2,nan,1990-05-01,(Unadj) Unemployment Rate - 45-54 yrs.
LNU04000199,1990,M05,3.2,nan,1990-05-01,"(Unadj) Unemployment Rate - 65 yrs. & over, Men"
LNS14000150,1990,M05,3.2,nan,1990-05-01,(Seas) Unemployment Rate - Married Men
LNS14100000,1990,M05,5.2,nan,1990-05-01,(Seas) Unemployment Rate  Full-Time Workers
LNS14000154,1993,M11,18.7,nan,1993-11-01,"(Seas) Unemployment Rate - 18-19 yrs., Men"
LNS14024886,1993,M11,12.1,nan,1993-11-01,"(Seas) Unemployment Rate - 16-24 yrs., Women"
LNU04000101,1993,M11,9.0,nan,1993-11-01,"(Unadj) Unemployment Rate - 25-34 yrs., Hispanic or Latino"
LNU04000257,1993,M11,2.9,nan,1993-11-01,"(Unadj) Unemployment Rate - 65 yrs. & over, White Men"
LNU04023559,1993,M11,4.9,nan,1993-11-01,(Unadj) Unemployment Rate - Reentrants to Labor Force 16-19 yrs.
LNU04015349,1993,M11,1.9,nan,1993-11-01,"(Unadj) Unemployment Rate - 75 yrs. & over, Women"
LNU04022998,1993,M11,6.7,nan,1993-11-01,"(Unadj) Unemployment Rate - Enrolled in College 16-24 yrs., White"
LNU04024311,1993,M11,2.6,nan,1993-11-01,"(Unadj) Unemployment Rate - Experienced Workers Nonagriculture Government, Self-employed, Unincorporated, and Unpaid family workers"
LNU04000105,1993,M11,6.7,nan,1993-11-01,"(Unadj) Unemployment Rate - 45-54 yrs., Hispanic or Latino"
LNU04023004,1993,M11,7.4,nan,1993-11-01,"(Unadj) Unemployment Rate - Enrolled in College Full Time 16-24 yrs., White"
LNS14024885,1993,M11,13.6,nan,1993-11-01,"(Seas) Unemployment Rate - 16-24 yrs., Men"
LNU04027691,1993,M11,4.0,nan,1993-11-01,"(Unadj) Unemployment Rate - Some College or Associate Degree, 25 yrs. & over, White"
LNU04024952,1993,M11,2.8,nan,1993-11-01,"(Unadj) Unemployment Rate - 70-74 yrs., White Men"
LNU04000208,1993,M11,8.0,nan,1993-11-01,"(Unadj) Unemployment Rate - 25-34 yrs., Hispanic or Latino Men"
LNU04024702,1993,M11,3.9,nan,1993-11-01,"(Unadj) Unemployment Rate - Married 20-64 yrs., Men"
LNU04000068,1993,M11,8.6,nan,1993-11-01,"(Unadj) Unemployment Rate - 25-54 yrs., Black or African American Women"
LNU04000354,1993,M11,2.5,nan,1993-11-01,"(Unadj) Unemployment Rate - 65 yrs. & over, Women"
LNU04024232,1993,M11,3.5,nan,1993-11-01,"(Unadj) Unemployment Rate - 55 yrs. & over, Women"
LNU04025327,1993,M11,8.9,nan,1993-11-01,"(Unadj) Unemployment Rate - 40-44 yrs., Black or African American"
LNU04000172,1993,M11,5.1,nan,1993-11-01,"(Unadj) Unemployment Rate - 35-39 yrs., Men"
LNU04022985,1993,M11,11.7,nan,1993-11-01,"(Unadj) Unemployment Rate - Enrolled in School, 16-24 yrs., Women"
LNU04000043,1993,M11,21.7,nan,1993-11-01,"(Unadj) Unemployment Rate - 20-24 yrs., Black or African American Men"
LNU04023714,1993,M11,0.6,nan,1993-11-01,"(Unadj) Unemployment Rate - Job Leavers 20 yrs. & over, Men"
LNU04200025,1993,M11,6.5,nan,1993-11-01,"(Unadj) Unemployment Rate - Part-Time Labor Force 20 yrs. & over, Men"
LNU04022990,1993,M11,20.6,nan,1993-11-01,(Unadj) Unemployment Rate - Enrolled in High School 16-24 yrs.
LNU04027675,1993,M11,9.6,nan,1993-11-01,"(Unadj) Unemployment Rate - Less than a High School Diploma 25 yrs. & over, Men"
LNU04034093,1993,M11,6.5,nan,1993-11-01,"(Unadj) Unemployment Rate - Nonagricultural Private Wage and Salary Workers, Women"
LNU04015839,1993,M11,11.3,nan,1993-11-01,"(Unadj) Unemployment Rate - 35-44 yrs., Black or African American Men"
LNU04015904,1993,M11,4.8,nan,1993-11-01,"(Unadj) Unemployment Rate - 50-54 yrs., Black or African American Women"
LNU04022973,1993,M11,11.3,nan,1993-11-01,"(Unadj) Unemployment Rate - Enrolled in School, 16-24 yrs., White"
LNU04034092,1993,M11,6.4,nan,1993-11-01,"(Unadj) Unemployment Rate - Nonagricultural Private Wage and Salary Workers, Men"
LNU04023038,1993,M11,43.7,nan,1993-11-01,"(Unadj) Unemployment Rate - Not Enrolled in School, 16-19 yrs., Black or African American"
LNU04000464,1993,M11,5.2,nan,1993-11-01,"(Unadj) Unemployment Rate - 60-64 yrs., Black or African American Women"
LNU04024947,1993,M11,4.8,nan,1993-11-01,"(Unadj) Unemployment Rate - 35-39 yrs., White"
LNU04000345,1993,M11,4.1,nan,1993-11-01,"(Unadj) Unemployment Rate - 50-54 yrs., Women"
LNU04000094,1993,M11,4.3,nan,1993-11-01,(Unadj) Unemployment Rate - 55-59 yrs.
LNU04000365,1993,M11,11.2,nan,1993-11-01,"(Unadj) Unemployment Rate - 35-44 yrs., Hispanic or Latino Women"
LNU04000002,1993,M11,6.2,nan,1993-11-01,(Unadj) Unemployment Rate - Women
LNU04015849,1993,M11,7.6,nan,1993-11-01,"(Unadj) Unemployment Rate - 50-54 yrs., Black or African American Men"
LNU04027660,1993,M11,5.6,nan,1993-11-01,"(Unadj) Unemployment Rate - High School Graduates, No College, 25 yrs. & over"
LNU04024932,1993,M11,6.5,nan,1993-11-01,(Unadj) Unemployment Rate - 25-29 yrs.
LNS14100000,1993,M11,6.5,nan,1993-11-01,(Seas) Unemployment Rate  Full-Time Workers
LNS14000091,1993,M11,5.6,nan,1993-11-01,(Seas) Unemployment Rate - 35-44 yrs.
LNU04024231,1993,M11,4.3,nan,1993-11-01,"(Unadj) Unemployment Rate - 55 yrs. & over, Men"
LNU04025317,1993,M11,11.8,nan,1993-11-01,"(Unadj) Unemployment Rate - 30-34 yrs., Black or African American"
LNS14000152,1993,M11,22.1,nan,1993-11-01,"(Seas) Unemployment Rate - 16-17 yrs., Men"
LNS14000091Q,1994,Q03,4.6,nan,1994-07-15,(Seas) Unemployment Rate - 35-44 yrs.
LNS14000319Q,1994,Q03,13.6,nan,1994-07-15,"(Seas) Unemployment Rate - 18-19 yrs., Women"
LNU04015813Q,1994,Q03,5.4,nan,1994-07-15,"(Unadj) Unemployment Rate - Married, Spouse Present, Black or African American Men"
LNU04027676Q,1994,Q03,4.7,nan,1994-07-15,"(Unadj) Unemployment Rate - High School Graduates, No College, 25 yrs. & over, Men"
LNU04023748Q,1994,Q03,0.8,nan,1994-07-15,"(Unadj) Unemployment Rate - Job Leavers, Hispanic or Latino"
LNS14100026Q,1994,Q03,5.8,nan,1994-07-15,"(Seas) Unemployment Rate  Full-Time Workers 20 yrs. & over, Women"
LNU04000071Q,1994,Q03,9.7,nan,1994-07-15,"(Unadj) Unemployment Rate -  25-54 yrs., Hispanic or Latino Women"
LNU04027668Q,1994,Q03,4.4,nan,1994-07-15,"(Unadj) Unemployment Rate - High School Graduates, No College, 25 yrs. & over, White"
LNS14000182Q,1994,Q03,4.1,nan,1994-07-15,"(Seas) Unemployment Rate - 45-54 yrs., Men"
LNU04022979Q,1994,Q03,13.1,nan,1994-07-15,"(Unadj) Unemployment Rate - Enrolled in School, 16-24 yrs., Men"
LNU04025032Q,1994,Q03,13.4,nan,1994-07-15,"(Unadj) Unemployment Rate - Never Married 25 yrs. & over, Black or African American Men"
LNU04027674Q,1994,Q03,4.0,nan,1994-07-15,"(Unadj) Unemployment Rate - Bachelor's degree and higher, 25 yrs. & over, Black or African American"
LNU04026171Q,1994,Q03,32.1,nan,1994-07-15,"(unadj) Unemployment Rate - Puerto Rican, 16 to 19 years"
LNU04022973Q,1994,Q03,9.7,nan,1994-07-15,"(Unadj) Unemployment Rate - Enrolled in School, 16-24 yrs., White"
LNU04000000Q,1994,Q03,5.9,nan,1994-07-15,(Unadj) Unemployment Rate
LNU04000121Q,1994,Q03,4.0,nan,1994-07-15,"(Unadj) Unemployment Rate - 65 yrs. & over, White"
LNU04015864Q,1994,Q03,12.3,nan,1994-07-15,"(Unadj) Unemployment Rate - 65 yrs. & over, Black or African American Men"
LNU04015890Q,1994,Q03,12.6,nan,1994-07-15,"(Unadj) Unemployment Rate - 25-29 yrs., Black or African American Women"
LNS14000048Q,1994,Q03,4.8,nan,1994-07-15,(Seas) Unemployment Rate - 25 yrs. & over
LNU04027686Q,1994,Q03,6.4,nan,1994-07-15,"(Unadj) Unemployment Rate - Associate Degree, 25 yrs. & over, Black or African American"
LNU04000457Q,1994,Q03,10.6,nan,1994-07-15,"(Unadj) Unemployment Rate - 25-34 yrs., Black or African American Women"
LNU04025037Q,1994,Q03,8.4,nan,1994-07-15,"(Unadj) Unemployment Rate - Widowed, Divorced, or Separated, 25 yrs. & over, Black or African American Women"
LNU04024946Q,1994,Q03,4.3,nan,1994-07-15,"(Unadj) Unemployment Rate - 30-34 yrs., White"
LNU04000020Q,1994,Q03,30.6,nan,1994-07-15,"(Unadj) Unemployment Rate - 16-19 yrs., Black or African American Women"
LNU04000220Q,1994,Q03,15.6,nan,1994-07-15,"(Unadj) Unemployment Rate - 16-17 yrs., White Men"
LNU04024955Q,1994,Q03,4.5,nan,1994-07-15,"(Unadj) Unemployment Rate - 75 yrs. & over, White"
LNU04000117Q,1994,Q03,3.7,nan,1994-07-15,"(Unadj) Unemployment Rate - 45-54 yrs., White"
LNU04024886Q,1994,Q03,11.8,nan,1994-07-15,"(Unadj) Unemployment Rate - 16-24 yrs., Women"
LNU04035147Q,1994,Q03,4.4,nan,1994-07-15,(Unadj) Unemployment Rate All Industries Government Wage & Salary Workers Women
LNU04025376Q,1994,Q03,5.6,nan,1994-07-15,"(Unadj) Unemployment Rate - Widowed, Divorced, or Separated, 25 yrs. & over, White Women"
LNU04000001Q,1994,Q03,5.7,nan,1994-07-15,(Unadj) Unemployment Rate - Men
LNU04022974Q,1994,Q03,6.0,nan,1994-07-15,"(Unadj) Unemployment Rate - Enrolled in School, 20-24 yrs., White"
LNU04023069Q,1994,Q03,13.6,nan,1994-07-15,"(Unadj) Unemployment Rate - Not Enrolled in School, High School Graduates, No College, 16-24 yrs., Hispanic or Latino"
LNU04200000Q,1994,Q03,6.1,nan,1994-07-15,(Unadj) Unemployment Rate - Part-Time Labor Force
LNS14100025Q,1994,Q03,5.4,nan,1994-07-15,"(Seas) Unemployment Rate  Full-Time Workers 20 yrs. & over, Men"
LNU04000088Q,1994,Q03,14.8,nan,1994-07-15,(Unadj) Unemployment Rate - 18-19 yrs.
LNU04023070Q,1994,Q03,9.3,nan,1994-07-15,"(Unadj) Unemployment Rate - Not Enrolled in School, High School Graduates, No College, 16-24 yrs., White"
LNU04000037Q,1994,Q03,9.3,nan,1994-07-15,"(Unadj) Unemployment Rate - 20-24 yrs., Men"
LNU04022971Q,1994,Q03,11.3,nan,1994-07-15,"(Unadj) Unemployment Rate - Enrolled in School, 20-24 yrs., Hispanic or Latino"
LNU04000121Q,1998,Q01,2.9,nan,1998-01-15,"(Unadj) Unemployment Rate - 65 yrs. & over, White"
